Tamanho,Tipo,Threads,Execucao,Tempo(ms)
10000,Sequencial,1,1,91,663
10000,Sequencial,1,2,92,409
10000,Sequencial,1,3,92,599
10000,Paralelo,2,1,239,546
10000,Paralelo,2,2,227,333
10000,Paralelo,2,3,207,295
10000,Paralelo,4,1,183,038
10000,Paralelo,4,2,180,786
10000,Paralelo,4,3,141,503
10000,Paralelo,8,1,139,428
10000,Paralelo,8,2,145,311
10000,Paralelo,8,3,139,599
50000,Sequencial,1,1,2952,111
50000,Sequencial,1,2,2982,812
50000,Sequencial,1,3,2964,969
50000,Paralelo,2,1,1030,865
50000,Paralelo,2,2,1083,160
50000,Paralelo,2,3,1080,036
50000,Paralelo,4,1,1049,266
50000,Paralelo,4,2,1149,490
50000,Paralelo,4,3,1009,826
50000,Paralelo,8,1,1036,351
50000,Paralelo,8,2,1027,921
50000,Paralelo,8,3,1036,034
100000,Sequencial,1,1,12139,588
100000,Sequencial,1,2,12090,542
100000,Sequencial,1,3,12220,793
100000,Paralelo,2,1,3045,386
100000,Paralelo,2,2,3168,972
100000,Paralelo,2,3,3189,956
100000,Paralelo,4,1,2290,321
100000,Paralelo,4,2,2450,322
100000,Paralelo,4,3,2439,901
100000,Para
